kiid01,4126,3
kiid01,1772,12
Mikel93,7887,31
kb420mcl,3304,48
kb420mcl,4788,20
bigdrama,3045,15
ff_pennysticks,399,10
ff_pennysticks,376,12
fisty123,6604,6
fisty123,6412,6
fisty123,7601,6
fisty123,7770,6
fisty123,7887,16
fisty123,2559,30
fisty123,4788,20
Seppukun,4456,58
Seppukun,6053,40
slammajamma28,6247,7
Attack-Trik,6246,11
Martz4040,5362,25
Martz4040,1127,5
SNACH2497,1842,12
SNACH2497,5362,28
SNACH2497,956,8
SNACH2497,2061,12
SNACH2497,1810,8
SNACH2497,1927,9
SNACH2497,1183,23
ThePriceysRight,4456,50
ThePriceysRight,3304,48
esstee11,6053,40
Leo_the_Lion25,5607,6
Leo_the_Lion25,5660,6
Leo_the_Lion25,5957,6
Leo_the_Lion25,6407,6
Leo_the_Lion25,6791,6
Leo_the_Lion25,4318,4
Leo_the_Lion25,4788,20
Szapako,4456,58
Szapako,6053,32
John_Smith2010,6179,6
