_MK_,MK34567,Roo Kids On The Block,362,6457,6819,14,78,92,619,1699,4409,32
AmbaLaBamba,x-Kohaku,Dabaholics Anonymous,229,7746,7975,4,125,129,741,1824,5281,35
AppleKratue,AppleKratue,My Waifu Is Still Better Than Yours,115,7022,7137,4,127,131,540,1759,4707,32
Arturia,syaoran369,My Waifu Is Still Better Than Yours,456,20203,20659,1,397,398,1642,4930,13689,70
Ashbo82,Bungles--Finger,My Drinking Team Has A Trophy Problem,319,7802,8121,13,163,176,1102,1891,4952,39
AshtimusPrime,Asher1985,Game of Moans: The Second Coming,43,8618,8661,1,139,140,769,2172,5580,37
Attack-Trik,Attack-Trik,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,256,12246,12502,6,192,198,913,3071,8320,46
Azoth658,Azoth658,Game of Moans: The Second Coming,224,15778,16002,9,189,198,1169,3365,11270,54
Bic80,Bic80,The Backdoor Bandits,290,11746,12036,7,210,217,1143,3174,7502,48
bigdrama,bigdrama,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,334,13138,13472,12,239,251,1211,3038,8972,51
BinkUncia,BinkUncia,My Drinking Team Has A Trophy Problem,351,10091,10442,9,148,157,927,2602,6756,42
Blaze Naruto Shippuden,Leo_the_Lion25,Mighty Morphin Trophy Rangers,1520,14459,15979,48,264,312,1862,4180,9625,62
BreadSkin,BreadSkin,TBC,356,22037,22393,11,448,459,2001,5209,14724,77
broadsword93,broadsword93,Started from the bottom... and still sofa king here,251,8046,8297,8,139,147,639,1800,5711,35
C-IRVINE-94,C-IRVINE-94,The Backdoor Bandits,181,12425,12606,7,210,217,1028,2965,8396,47
Carbon_lancer,Carbon_lancer,To Infinity and Beyond,38,11331,11369,0,113,113,823,2428,8005,41
CatNZ,korncat666,Snakes in the Grass,2750,12331,15081,91,235,326,1679,3998,9078,59
cbchaos67,cbchaos67,The Backdoor Bandits,229,13572,13801,9,219,228,987,3251,9335,49
clayser,clayser,THS,583,4612,5195,12,70,82,444,1270,3399,27
Combatting,Combatting,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,216,11294,11510,6,180,186,980,2719,7625,44
DaEastside,Da-Eastside,Roo Kids On The Block,2009,19551,21560,67,386,453,2092,4966,14049,76
DaFaztFingaz,DaFaztFingaz,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,89,4914,5003,3,78,81,337,1067,3518,26
Dark_Adonis,Dark_Adonis,Started from the bottom... and still sofa king here,308,21049,21357,6,309,315,1471,4564,15007,68
Dark_Raven666,Dark_Raven666,Super Gamindustri 64,98,21140,21238,1,417,418,1784,5104,13932,72
Darth_Krid,Darth_Krid,Snakes in the Grass,3106,15455,18561,113,341,454,2656,5121,10330,76
Deceiver,XxDecieverxX,Super Gamindustri 64,416,7462,7878,11,125,136,516,1776,5450,33
Dino_Roar,Dino_Roar,Started from the bottom... and still sofa king here,850,15632,16482,27,342,369,1965,4327,9821,65
DISCOKING,DISCOKING,People Doing Casual Things,246,11604,11850,12,218,230,1024,2718,7878,46
diskdocx,diskdocx,Hail to the Ping Baby,874,23791,24665,32,517,549,3069,6426,14621,91
djhmetfan2,TrophyDad,Mighty Morphin Trophy Rangers,1784,33400,35184,45,550,595,3802,8899,21888,117
Dolken,Dolken_swe,THS,423,13066,13489,16,166,182,1105,3198,9004,49
DPatriot,DPatriot,THS,199,7037,7236,5,132,137,521,1524,5054,32
DrHambone,DrHambone,Who Needs Platinum's When You Can Get Lots of Bronzes?,387,9364,9751,8,116,124,861,2145,6621,39
Eric-B14,bubman2,The Leftovers,107,8903,9010,1,108,109,549,1848,6504,35
esstee11,esstee11,Started from the bottom... and still sofa king here,1304,3551,4855,37,76,113,701,1197,2844,29
fancyfox,Fancy_Fox,My Waifu Is Still Better Than Yours,371,15107,15478,11,260,271,1061,3262,10884,53
finally a devil,John_Smith2010,Lord of the Pings,257,5813,6070,7,67,74,353,1112,4531,27
fisty123,fisty123,My Waifu Is Still Better Than Yours,1332,16238,17570,51,306,357,2181,4488,10544,68
