_MK_,MK34567,Roo Kids On The Block,388,6457,6845,14,78,92,619,1702,4432,32
AmbaLaBamba,x-Kohaku,Dabaholics Anonymous,233,7746,7979,4,125,129,741,1825,5284,35
AppleKratue,AppleKratue,My Waifu Is Still Better Than Yours,135,7022,7157,5,127,132,543,1761,4721,32
Arturia,syaoran369,My Waifu Is Still Better Than Yours,499,20203,20702,1,397,398,1648,4941,13715,70
Ashbo82,Bungles--Finger,My Drinking Team Has A Trophy Problem,332,7802,8134,14,163,177,1107,1895,4955,39
AshtimusPrime,Asher1985,Game of Moans: The Second Coming,44,8618,8662,1,139,140,769,2172,5581,37
Attack-Trik,Attack-Trik,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,298,12246,12544,7,192,199,921,3080,8344,46
Azoth658,Azoth658,Game of Moans: The Second Coming,224,15778,16002,9,189,198,1169,3365,11270,54
Bic80,Bic80,The Backdoor Bandits,391,11746,12137,12,210,222,1187,3199,7529,48
bigdrama,bigdrama,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,379,13138,13517,14,239,253,1230,3049,8985,51
BinkUncia,BinkUncia,My Drinking Team Has A Trophy Problem,351,10091,10442,9,148,157,927,2602,6756,42
Blaze Naruto Shippuden,Leo_the_Lion25,Mighty Morphin Trophy Rangers,1520,14459,15979,48,264,312,1862,4180,9625,62
BreadSkin,BreadSkin,TBC,371,22037,22408,12,448,460,2004,5214,14730,77
broadsword93,broadsword93,Started from the bottom... and still sofa king here,258,8046,8304,8,139,147,639,1801,5717,35
C-IRVINE-94,C-IRVINE-94,The Backdoor Bandits,193,12425,12618,7,210,217,1029,2969,8403,47
Carbon_lancer,Carbon_lancer,To Infinity and Beyond,38,11331,11369,0,113,113,823,2428,8005,41
CatNZ,korncat666,Snakes in the Grass,2964,12331,15295,102,235,337,1777,4055,9126,61
cbchaos67,cbchaos67,The Backdoor Bandits,238,13572,13810,9,219,228,987,3253,9342,49
clayser,clayser,THS,620,4612,5232,13,70,83,450,1290,3409,27
Combatting,Combatting,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,216,11294,11510,6,180,186,980,2719,7625,44
DaEastside,Da-Eastside,Roo Kids On The Block,2219,19551,21770,67,386,453,2107,5006,14204,76
DaFaztFingaz,DaFaztFingaz,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,117,4914,5031,4,78,82,343,1074,3532,26
Dark_Adonis,Dark_Adonis,Started from the bottom... and still sofa king here,308,21049,21357,6,309,315,1471,4564,15007,68
Dark_Raven666,Dark_Raven666,Super Gamindustri 64,102,21140,21242,2,417,419,1784,5107,13932,73
Darth_Krid,Darth_Krid,Snakes in the Grass,3331,15455,18786,120,341,461,2709,5181,10435,77
Deceiver,XxDecieverxX,Super Gamindustri 64,436,7462,7898,11,125,136,516,1778,5468,33
Dino_Roar,Dino_Roar,Started from the bottom... and still sofa king here,918,15632,16550,29,342,371,1982,4339,9858,65
DISCOKING,DISCOKING,People Doing Casual Things,264,11604,11868,13,218,231,1033,2723,7881,46
diskdocx,diskdocx,Hail to the Ping Baby,959,23791,24750,36,517,553,3095,6446,14656,92
djhmetfan2,TrophyDad,Mighty Morphin Trophy Rangers,2024,33400,35424,53,550,603,3848,8966,22007,118
Dolken,Dolken_swe,THS,468,13066,13534,17,166,183,1113,3214,9024,49
DPatriot,DPatriot,THS,199,7037,7236,5,132,137,521,1524,5054,32
DrHambone,DrHambone,Who Needs Platinum's When You Can Get Lots of Bronzes?,440,9364,9804,11,116,127,888,2158,6631,39
Eric-B14,bubman2,The Leftovers,109,8903,9012,1,108,109,549,1848,6506,35
esstee11,esstee11,Started from the bottom... and still sofa king here,1517,3551,5068,43,76,119,765,1241,2943,30
fancyfox,Fancy_Fox,My Waifu Is Still Better Than Yours,371,15107,15478,11,260,271,1061,3262,10884,53
finally a devil,John_Smith2010,Lord of the Pings,278,5813,6091,7,67,74,354,1114,4549,27
fisty123,fisty123,My Waifu Is Still Better Than Yours,1349,16238,17587,52,306,358,2192,4490,10547,68
Foxyfox,Belle_Arelle,The Trophy Avengers,1230,4738,5968,34,80,114,642,1676,3536,31
frosteeeh21,frosteeeh21,The Leftovers,105,11033,11138,4,95,99,622,2467,7950,39
funkyweed,funkyweed,TBC,115,8381,8496,5,156,161,984,2225,5126,39
Fynn84,Infynnity84,Team Sleep,37,1746,1783,3,18,21,127,390,1245,15
Gage,ggamer15,Snakes in the Grass,1703,29456,31159,69,570,639,3987,7905,18628,112
Gashead-64,Gashead-64,Lord of the Pings,263,3173,3436,7,51,58,331,863,2184,22
GAZDAN,GAZDAN,My Drinking Team Has A Trophy Problem,506,16258,16764,18,354,372,1793,4497,10102,64
GearsOfTheDead,GearsOfTheDead,Lord of the Pings,396,3271,3667,11,56,67,404,825,2371,23
genolas77,genolas77,Started from the bottom... and still sofa king here,619,14027,14646,21,269,290,1418,3606,9332,55
guylian,guylian,Team Sleep,128,8140,8268,2,128,130,681,1872,5585,35
HaoleDave,HaoleDave,The Leftovers,211,6271,6482,7,104,111,530,1919,3922,31
Haptism,Izularia,Super Gamindustri 64,404,12478,12882,12,221,233,1172,3305,8172,50
hBLOXs,hBLOXs,Who Needs Platinum's When You Can Get Lots of Bronzes?,421,8004,8425,5,164,169,869,1836,5551,37
HellCu3ED,HellCu3ED,To Infinity and Beyond,337,11955,12292,9,251,260,1075,2798,8159,48
honda hoe,HondaHoe,People Doing Casual Things,56,6656,6712,3,147,150,757,1927,3878,34
I Bleed Green,Quickie_Lindsay,Who Needs Platinum's When You Can Get Lots of Bronzes?,102,8130,8232,2,65,67,513,1587,6065,32
iLion,lion1325478,People Doing Casual Things,582,6624,7206,13,131,144,848,1783,4431,35
IM NaMTaB,malachi1987,The Trophy Avengers,218,7111,7329,9,75,84,560,1605,5080,32
JayPBM,JayPBM,Hail to the Ping Baby,277,13444,13721,10,223,233,1389,3385,8714,53
Jerry Appleby,Jerry_Appleby,The Trophy Avengers,327,21189,21516,10,403,413,1852,5092,14159,73
JMeeks,JMeeks1875,The Backdoor Bandits,727,11917,12644,29,221,250,1342,3370,7682,51
Joooooink,Joooooink,THS,379,14413,14792,8,158,166,976,3087,10563,50
JoyPolarTwin,Floreli,Team Sleep,323,10277,10600,11,135,146,798,2130,7526,40
jvaferreira,jvaferreira,Started from the bottom... and still sofa king here,447,8381,8828,11,124,135,507,1769,6417,35
kb420mcl,kb420mcl,Snakes in the Grass,3328,24787,28115,137,464,601,3227,6897,17390,99
kdogg2010,kdogg2010,The Leftovers,277,16676,16953,5,162,167,1180,3622,11984,55
KevlarPrime81,KevlarPrime81,Lord of the Pings,259,957,1216,7,22,29,159,230,798,14
kinjall,kinjall,My Drinking Team Has A Trophy Problem,348,7241,7589,8,130,138,644,1831,4976,34
Kratos2810,WWE_Kratos2810,My Waifu Is Still Better Than Yours,331,9006,9337,8,155,163,674,2038,6462,38
Labartu,whatev0r,TBC,464,9066,9530,7,154,161,737,2367,6265,39
Laburnski,Laburnski,My Waifu Is Still Better Than Yours,588,9017,9605,15,194,209,721,2016,6659,39
leptonic,leptonic,Mighty Morphin Trophy Rangers,948,28316,29264,54,320,374,2555,6315,20020,91
LionSquid,Lion_Squid,Who Needs Platinum's When You Can Get Lots of Bronzes?,354,7624,7978,7,88,95,467,1521,5895,32
luffybuggy,luffybuggy,Your Bag is Full Please Remove Some Trophies to Continue,557,10448,11005,15,172,187,819,2505,7494,42
Martz,Martz4040,People Doing Casual Things,260,2538,2798,6,37,43,222,639,1894,19
mattigummi,mattigummi45,Team Sleep,261,8068,8329,7,137,144,654,1924,5607,35
Mendel,Mendel_Skimmel,TBC,364,15658,16022,9,278,287,1287,3455,10993,56
MikeKeese,MikeKeese,Snakes in the Grass,2230,21170,23400,84,423,507,2728,5976,14189,86
MikelAL93,Mikel93,Super Gamindustri 64,1058,8546,9604,20,110,130,936,2328,6210,40
Molasar,Molasar,Hail to the Ping Baby,185,13750,13935,5,232,237,965,3185,9548,50
morg106,morg106,Dabaholics Anonymous,1479,9455,10934,52,185,237,1392,3110,6195,48
Multitasking,Multi_Tasking,Lord of the Pings,279,7593,7872,4,114,118,537,1664,5553,33
neahcrow,neahcrow,Mighty Morphin Trophy Rangers,3241,12065,15306,95,141,236,1481,3628,9961,56
NemoG,NemoG,To Infinity and Beyond,88,4968,5056,1,48,49,252,909,3846,24
NightRusticDawn,NightRusticDawn,THS,359,7980,8339,7,149,156,805,1889,5489,37
Noid,The__Noid,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,69,16406,16475,0,178,178,1217,3723,11357,55
nyannyanexpress,broheimexpress,Lord of the Pings,435,9281,9716,11,136,147,889,2329,6351,40
olsen77,olsen77,TBC,479,15011,15490,10,257,267,1220,3629,10374,55
