_MK_,MK34567,Roo Kids On The Block,205,6457,6662,9,78,87,581,1677,4317,31
AmbaLaBamba,x-Kohaku,Dabaholics Anonymous,110,7746,7856,2,125,127,722,1804,5203,35
AppleKratue,AppleKratue,My Waifu Is Still Better Than Yours,59,7022,7081,2,127,129,528,1738,4686,32
Arturia,syaoran369,My Waifu Is Still Better Than Yours,274,20203,20477,0,397,397,1630,4880,13570,70
Ashbo82,Bungles--Finger,My Drinking Team Has A Trophy Problem,194,7802,7996,8,163,171,1068,1856,4901,38
AshtimusPrime,Asher1985,Game of Moans: The Second Coming,21,8618,8639,0,139,139,767,2168,5565,37
Attack-Trik,Attack-Trik,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,114,12246,12360,3,192,195,894,3031,8240,46
Azoth658,Azoth658,Game of Moans: The Second Coming,115,15778,15893,6,189,195,1153,3337,11208,53
Bic80,Bic80,The Backdoor Bandits,145,11746,11891,4,210,214,1117,3135,7425,47
bigdrama,bigdrama,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,187,13138,13325,8,239,247,1170,3000,8908,50
BinkUncia,BinkUncia,My Drinking Team Has A Trophy Problem,244,10091,10335,7,148,155,919,2583,6678,42
Blaze Naruto Shippuden,Leo_the_Lion25,Mighty Morphin Trophy Rangers,860,14459,15319,33,264,297,1728,4021,9273,60
BreadSkin,BreadSkin,TBC,98,22037,22135,3,448,451,1953,5122,14609,76
broadsword93,broadsword93,Started from the bottom... and still sofa king here,100,8046,8146,3,139,142,605,1758,5641,34
C-IRVINE-94,C-IRVINE-94,The Backdoor Bandits,158,12425,12583,6,210,216,1023,2957,8387,47
Carbon_lancer,Carbon_lancer,To Infinity and Beyond,28,11331,11359,0,113,113,822,2427,7997,41
CatNZ,korncat666,Snakes in the Grass,1307,12331,13638,47,235,282,1274,3669,8413,53
cbchaos67,cbchaos67,The Backdoor Bandits,139,13572,13711,7,219,226,971,3230,9284,49
clayser,clayser,THS,421,4612,5033,9,70,79,423,1230,3301,27
Combatting,Combatting,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,197,11294,11491,6,180,186,974,2713,7618,44
DaEastside,Da-Eastside,Roo Kids On The Block,909,19551,20460,36,386,422,1862,4614,13562,71
DaFaztFingaz,DaFaztFingaz,Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery,41,4914,4955,1,78,79,334,1049,3493,26
Dark_Adonis,Dark_Adonis,Started from the bottom... and still sofa king here,119,21049,21168,1,309,310,1449,4506,14903,67
Dark_Raven666,Dark_Raven666,Super Gamindustri 64,1,21140,21141,0,417,417,1775,5087,13862,72
